id	Description	Harasser	Time	Location	Trigger	harasser_age	harasser_num	harasser_type	time_of_day	location_type
0601	when i was moving along the street , a boy started assulting me through facial expression at the beginning but when he got no reply from me , he started using a verbal means but whe he still did not get any reply , he stared commenting that ohh ! a beautiful girl like this is dumb and deaf	['boy']	None	['street']	['using a verbal means', 'assulting', 'stared commenting']	1	1	0	0	1
0832	it was not happened to me but i saw one boy at the time of tihar who was ogling as well clapping to girl . he was in the roof of van who came to play deusi in a group . he was singing song also . i saw girl very scared n serious . her condition was very poor	['boy']	None	None	['ogling', 'clapping']	1	1	0	0	0
1292	the son of the owner of kengeles bar usually defiles children and has the habbit of sexually harassing different other ladies . the mother is financially stable and always influence justice with her resources .	['son of the owner']	None	None	['sexually harassing']	1	1	12	0	0
1286	i am a foreigner , happened to visit carter road , bandra few days back and i found few of the stretches on carter road are absolutely dark . found group of men sitting there and passing filthy remarks on women .	['group of men']	['dark']	['road']	['passing filthy remarks']	2	2	0	2	1
4498	a man sitting next to me was elbowing me continuously and i got so fed up that i left that auto .	['man']	None	['auto']	['elbowing']	2	1	0	0	2
0826	3 guys misbehave with me yesterday , till then i informed my husband . they run away . no safety for tourists . srinagar mohmadmufti womensafetyat new krishna hotel srinagar one guy touched me inappropriately and felt proud with his pack . such thngs shldnt happen .	['3 guys']	None	None	['misbehave']	0	2	0	0	0
0985	this incident took place during afternoon . three men tried to pull me into the car just outside my college . i reported to the college department and even to nearby pcr van but all in vain . the incident has happened to my other friends also .	['Three men']	['afternoon']	['outside my college']	['pull me into the car']	2	2	0	1	11
1325	i was waiting for a bus when two men on the bike came close and started singing lewd songs . no one stopped them . i just took the next bus that came , even though it wasn t the one i was supposed to board .	['men']	None	['waiting for a bus']	['singing lewd songs']	2	2	0	0	3
4249	one girl was walking on road at evening . there were drunk men who commented on the girl . she ignored .	['drunk men']	['evening']	['road']	['commented']	2	2	0	2	1
1331	my neighbour called me to repair for him his torn cloth . when i went to take it as i was leaving he caught my shoulders with his two hands in a suggestive manner and i felt scared and jumped and ran away	['neighbour']	None	None	['caught my shoulders']	0	1	5	0	0
0749	in the bus from panjim to ponda one man started following me and came into the bus . bus was crowded . in sometime i got a seat . he came and stood next to me and started touching his private parts to me . he opened his chain of his pants and started using indecent words	['one man']	None	['bus']	['using indecent words', 'touching his private parts', 'opened his chain of his pants']	2	1	0	0	2
0761	we were in metro (civil lines) and a guy was clicking our pictures and when we checked his phone and there were so many vulgar pictures and then we gave his phone to the security guard to take strict action against him . it happened on 17th august 2013 in the evening .	['guy']	['evening']	['metro']	['clicking our pictures']	0	1	0	2	2
4261	i was going back to my house and a car followed me and people were clicking my pictures from the car .	['people']	None	None	['followed', 'clicking my pictures']	0	0	0	0	0
1319	one day i was washing my hand in the sink which was just outside the boy s toilet . one of my male friend came to me and whispered girls don t need to wash hand after urinating boys have to , right ?	['male friend']	None	["outside the boy's toilet"]	['whispered']	0	1	4	0	13
0007	is this how women get harrassed by police in nepal ? orwhat happened to me today . let me tell you , what happened to me today . i wanted to get some food , while i was on my scooter , putting the signal , stopping and some seconds after , all of the sudden , somebody hit me on the scooter really hard with his bike . luckily , there were many people around , but the driver ran away afterwards . he left behind his friend , that tried to run also , but people could hold him back . he had to go through all the charges , the driver , most probably not having a license , did never show up or tried to apologize . but this is not the story , i want to tell you here . what happened after , going to the police station , was even worse . not , that things like this happened never happened to me already in nepal before , but this was just . . . hitting me much harder . please consider also , that i was , obviously , under shock from the accident . not only this , constantly police men at the police headquarters were making fun of me and making me look stupid . they treated me like if i was not capable , not being supportive , nor trying to help . they did not even talk to me properly . and they did not even try to talk to me in nepali , nor english . they just talked to the male person (he was called my tourist guide) , that i called after the accident and was with me , about the case , even if it was my scooter and he was not present during the accident . the only occasion , they addressed me , was when the chief of police , that was in charge started asking me for my number and called me sexy . can you imagine , being in that kind of state of mind after an accident and police takes advantage of it ? we are talking here about police headquarters in kathmandu . this did not happen in any back room somewhere in nowhere , where it cannot be justified in any case also . this happened publically , with people being present and observing this . nobody spoke up . is this how the police treats women in nepal ? having a very privileged position as a foreigner , i do not even want to imagine , how nepali sisters get treated , who have no embassy at their back , which the police men are afraid of . can this behaviour really be accepted and ignored ? is that the police , that should serve the public and protect the people ?	['police men', 'chief of police']	None	['police headquarters', 'police station']	['asking me for my number', 'making me look stupid', 'called me sexy', 'did not even talk to me properly', 'making fun']	2	2	9	0	13
0013	in the summer 2011 i stayed in manju ka tilla as i had just returned from dharamshala . as a foreigner traveling alone , i would always stay in the guest houses here since the area felt safe . one morning at 9am , as i prepared to leave the guesthouse to take a train to agra , i was cornered by an ear cleaner . it all happened very suddenly . he offered to clean my ears and when i said no , he pushed me against a wall of one of the side alleys just off the main street , and proceeded to touch my breasts and nipples . i somehow pushed him away and raced back to my guesthouse , but when the guy in reception ran out to try and find the ear cleaner , he was gone . shocked and shaken up and upset as i was , i had a train to catch and headed down to new delhi train station on a taxi . once at the station , my driver called in a guy to help carry one of my bags . we agreed how much i would pay for this then and there , and he was meant to help me find my train . we reached the train and went into the 2ac section where i was traveling , which at the time was empty still . after putting down the bag he extended his hand to ask for more money . i said no and reached down for the agreed sum , by which time he started to feel up my thigh (and move up) . i yelled back and told him to back off and get out ! he then shook his head and said ok to the money , but when i gave him the rupees he grabbed my hand and put it on his erect penis . it was deeply disturbing . luckily , as i was trying to free my hand from his grip , other people came into the train and he ran out the opposite end . that was 11 am . the people who traveled with me comforted me and made sure i arrived safely in agra . it was one of the worst days of my life .	['guy']	['morning']	['station', 'side alleys']	['feel up', 'pushed', 'grabbed', 'put', 'touch']	0	1	0	1	3
4275	during afternoon , while travelling in metro , there was lot of touching i the general compartment .	None	['afternoon']	['metro', 'compartment']	['touching']	0	0	0	1	2
4513	following on bandstand , making awkward hand gestures . forcefully trying to strike a conversation .	None	None	['bandstand']	['strike a conversation', 'making awkward hand gestures', 'Following']	0	0	0	0	1
0775	a girl was being stalked and groped by a bunch of guys . she went running looking for help , and asked a mid aged lady for help . seeing this , the boys fled . the lady then dropped the girl home safely . happened around 2 and a half years ago . exact date not specified .	['BUNCH OF GUYS']	None	None	['STALKED', 'GROPED']	0	2	0	0	0
0946	this incident took place in the evening . i was going home from the market which is a 5 minute walk . guys on bike commented and whistled . it has happened 23 times . i shouted right back at them at they have never dared to say anything else again .	['Guys on bike']	['evening']	None	['whistled', 'commented']	0	2	0	2	0
0952	he was friend of my brother . he used to call me at any time , be it 1 am or 2 am . after few days he proposed to which i refused . he started threatning me like say yes or face the consequences . . like uthwalunga , goli maar dunga , and lot more	['friend of my brother']	['1 am or 2 am']	None	['threatning me']	0	1	4	1	0
0239	this incident took place near kamla nagar market , in front of kirori mal college . at evening , while i was returning from a place , one middle aged man who was sitting in front of kirori mal college , suddenly started to comment at me , along with obscene facial expressions , sexual invites . i tried to ignore at first but he kept on doing this . as there was no other person at that point of time , i panicked and ran away when he started to come near me .	['one middle aged man']	['evening']	['near Kamla Nagar market']	['comment at me,along with obscene facial expressions,sexual invites']	2	1	0	2	0
1127	this is the main junction in gandhipuram which leads to cross cut road , one of the busiest road , in coimbatore . a lot of my female friends have said that they have been touched inappropriately while crossing this junction .	None	None	['road']	['touched']	0	0	0	0	1
4739	whenever we pass by , people start commenting and whistling . it usually happens in the evening .	['people']	['evening']	None	['whistling', 'commenting']	0	0	0	2	0
1133	i was walking to my home after school and while i was walking one boy just came infront of me and told me that he loves me . i didnt knew that guy so i ignored him but he was continuously following me and no body helped me	['boy']	None	['walking']	['following']	1	1	0	0	1
0205	it was on saturday last year 2014 when my aunt went to fetch some water around 500 o clock in the morning around buea central market . she saw a man standing besides a farm with a bag . the man called her to come and help him put the bag on his head . unfortunately for her she did not know the man s intention . she was beaten and raped . she was helpless and could not walk to the extend that she wanted to die but she was rushed to the hospital . until now , the man has not been caught	['man']	['morning']	['around buea central market.']	['beaten and raped']	2	1	0	1	5
4063	i was walking to school when a man offered to pay me bus fare while making facial expressions towards me .	['man']	None	None	['making facial expressions']	2	1	0	0	0
4705	some men were following me from school upto our house and told me that they will take me away	['some men']	None	None	['following', 'told me that they will take me away']	2	2	0	0	0
0563	when i was going to buy milk in the evening , one big man with his sister came following me and that guy patted on my back saying wer r u going and other annoying things and i have said who are you ? he answered back saying he is my own person and cares abt me . i got worried and ran to home very fast .	['one big man with his sister', 'guy']	['evening']	None	['patted on my back', 'saying wer r u going and other annoying things']	2	1	0	2	0
0577	i am a male and even i feel unsafe on north campus once its late because some people drink mostly around the backyard of hansraj college and vc office in kamla nagar . they misbehave not only with girls but also men and there is no police around . few drunk men around a month ago made sexual invites	['Few drunk men']	None	None	['made sexual invites']	2	0	0	0	0
4711	4 guys stopped the rickshaw i was traveling in and tried to touch me at inappropriate places	['4 guys']	None	['rickshaw']	['touch']	0	2	0	0	2
4077	women are harassed by catcalls and whistles at tirumurthy nagar , nungambakkam , chennai , tamil nadu , india	None	None	None	['harassed by catcalls and whistles']	0	0	0	0	0
0211	when i was in class ten one of my friends got sexually harassed . although she wasn t studying in the same school with me but shared her incident with me . when she went into toilet , one of the boy who was following her to toilet but she was unaware of it , entered into toilet with her . he tried to molest her in toilet but she managed to run out of toilet . later she told this to others and they managed to punish the boy . he was taken action by school administration .	['one of the boy']	None	None	['molest', 'sexually harassed', 'following']	1	1	0	0	0
4922	a few roadside vendors and people present in market mostly behave in very indecent way .	['VENDORS', 'PEOPLE']	None	['MARKET']	['BEHAVE IN VERY INDECENT WAY']	0	0	0	0	5
0588	a man of around 40 followed me daily from my tution centre till my home . this incident took place three years ago when i ws in std . 11 . later he started exposing his private parts . i informed my father and police complaint was lodged . i noted the bike number through which his address was traced .	['A man of around 40']	None	None	['followed', 'exposing']	2	1	0	0	0
4936	i was in metro and there was a guy who was trying to touch me in an inappropriate manner	['guy']	None	['metro']	['touch']	0	1	0	0	2
4088	it was night time . me and my friends were commented by drunkards . we got scared and ran away from there .	['drunkards']	['night']	None	['commented']	0	1	0	2	0
4937	a girl was teased and few boys were commenting on her when she was leaving for her work .	['few boys']	None	None	['teased', 'commenting']	1	2	0	0	0
0589	on my way home there was this man who was calling out on people then pretends not to have called them . he did the same to me but mine was different ashe started following me while calling out loud . i stopped and asked him what he wanted only to find out that he wanted me to follow him to his house	['man']	None	None	['following', 'calling out', 'calling out loud', 'wanted me to follow him to his house']	2	1	0	0	0
4089	it is an ususal thing to watch people gazing you on roads or anywhere and scrutinising your sexual organ	['people']	None	['roads']	['gazing', 'scrutinising your sexual organ']	0	0	0	0	1
4923	the local chawl men have been calling her names cause she has seperated from her husband	['men']	None	None	['calling her names']	2	2	0	0	0
4710	often at evening the nearby men and guys hangout in the shady area . . often cooment and stare	['men', 'guys']	['evening']	None	['cooment', 'stare']	2	2	0	2	0
0576	a friend of mine has been sexually harassed by a guy in my quarter . she was raped simply because the guy asked her out and she refused so the guy was emabrassed and mocked by his friends for not getting the girl . so , he planned with his friends to rape the girl . she was badly injured and almost died .	['guy']	None	['my quarter']	['harassed', 'raped']	0	1	0	0	6
0210	one of the girl whom i know was sexually harassed . she used to go to her best friend s home mostly . she was noticed by her best friend d cousin . that girl didn t know his intention and always considered him as brother . one day that brother called the girl saying that her best friend is sick . so she reached her home very soon . when she reached home there was nobody in her home except that brother . he served her a glass of juice . she went unconscious and he raped her .	['brother', "best friend'd cousin"]	None	['home']	['sexually harassed', 'raped']	1	1	4	0	4
4062	when i was 14 years old , a man tried to touch my private body parts in the name of playing hide and seek .	['man']	None	None	['touch my private body parts']	2	1	0	0	0
0204	one day i was walking from home to school . i got my shoes damaged and i went to cobbler to fix it but i dont find anyone in the shop so i went to next shop for this purpose but a man from my back followed me and catch my hand and uses rough words an invited me for sexual activities it was a alley so i was too scared and i found a stone and hit him ran away from there and enter in one of the house there to make myself safe . now i avoid that way which recall me that incident .	['man']	None	None	['catch', 'uses rough words', 'invited me for sexual activities']	2	1	0	0	0
0562	my friend witnessed this incident at local railway station in a crowded place . she was waiting for me and she realized a man standing behind her was trying to ejaculate on her dress from behind . the moment she realized this , she turned around and hit him hardly , the man pushed her back and ran away .	['man']	None	['railway station']	['ejaculate']	2	1	0	0	3
4704	while climbing in the bus , a man purposely pressed on my breasts and made it seem by mistake .	['man']	None	['bus']	['pressed on my breasts']	2	1	0	0	2
1132	me , my father and my brother were in gopi krishna movie hall . ticket counter was bit crowdy so one guy touched the girl and the girl immediately replied her by shouting at her and later that guy felt shame and he backoff .	['guy']	None	['movie hall']	['touched']	0	1	0	0	13
1126	this happened in the last 30 days during the night . while i was on my way to home i noticed a group of 45 boys sitting at one corner . when a girl was crossing that way , these guys commented on her . she ignored and went by .	['guys']	['night']	None	['commented']	0	2	0	2	0
0238	a few years back , i was on a bus form delhi to dharamsala . the ticket sellers won t put women together in those buses . i ended up next to a guy in his twenties . in the middle of the night i woke up when he took my hand to masturbate himself . his penis was out of his pants . i started hitting him and he fell down . i hit him so much i didn t let him sit next to me or any other girl in the bus . people kept sleeping . there was no one helping .	['guy in his twenties']	None	['bus']	['penis was out of his pants', 'masturbate']	1	1	0	0	2
4738	i went out of my house for a night walk . i saw a nude man masturbating in front of my house .	['man']	['night']	['in front of my house']	['masturbating']	2	1	0	2	6
0947	my sister was coming back from studies one saturday evening , a boy called her and asked if he could talk to her . since it was late for her to be out at 6pm , she refused but the boy caught her . he wanted to rape her but people came to her aid .	['boy']	['evening', '6pm']	None	['caught her', 'wanted to rape']	1	1	0	2	0
4274	it was really bad . they were passing cheap comments nd blinking eyes even when i was with my family .	['They']	None	None	['passing cheap comments', 'blinking eyes']	0	2	0	0	0
0012	this report will allow you to understand why girls are forced to commit suicide . you might be seeing on tv and news these days , how girls commit suicide because of blackmailing and sexual harassment . this is my story . i am 15 . i had gone to visit my friend and on her street i noticed a guy staring at me . he was 18 or 19 . he even winked at me , whistled , commented and what not . i ignored him and paced to my friend s place . i told her about this incident and she was mad at me , she wanted to go and confront that guy . we forgot about him and talked about ourselves for the rest of the afternoon . in the evening , i was totally shocked when i saw the same guy enter my friend s house . she introduced him as her brother and that s when i was speechless . the guy grinned at me dirtily and went to his room . my friend that day had got me a dress and she wanted me to try it on and show it to her . i was in no mood , i was disgusted , i wanted to shout at her brother , tell my friend all about him , but i kept quiet . i succumbed to her pressure and went and changed my dress . after showing her the dress , when i was going back to change into my original one , i noticed him standing near the staircase smiling in an evil way . he blocked my way , held my hand and forced me to see a video on his one . i was horrified when i saw its my video while i was changing my clothes in the toilet . i started crying and begged him to delete it . he said he will only if i have sex with him . at that moment as i was pleading and begging , i don t know how i got the strength to slap him . my friend heard the noise and came out where we were , i told her everything , she was speechless and did not know how to react . she cried and said many things to her brother . things were never the same after that , neither was i .	['her brother', 'guy']	['evening']	["my friend's house"]	['grinned', 'winked', 'smiling', 'whistled', 'commented', 'held', 'staring', 'forced']	1	1	4	2	4
0774	it happened in my quater . by one boy in my quater about some two months back in dirty south . well the girl was beautiful when she was passing many boys were lusting after her . then one boy tried to approach her and when she snobbed the boys , they threatened her .	['many boys']	None	['my quater']	['lusting after her']	1	2	0	0	6
4512	it was a iv trip by college in rajasthan . the head of the department touched me inappropriately .	['head of the department']	None	None	['touched']	2	1	2	0	0
4506	my friend and i was eveteased by one passerby on bike . he took rounds and passed us several times	['passerby']	None	None	['eveteased']	0	1	0	0	0
0760	i was returning home from an errand when a middle aged man probably going home from some work while passing by me brushed past . and touched me inappropriately . i turned and reprimanded the man . i remember he had tried to run away unnoticed when i verbally abused him .	['middle aged man']	None	['going home']	['touched', 'brushed past.']	2	1	0	0	1
0006	i think there is no woman who has not gone through some form of sexual harassment in this country . it is sad that i cant step outside my home without a hint of fear in my mind . i have had experiences standing at my bus stop as a child , with a friend of mine waiting for my school bus to come , when a man in a big car took rounds throwing pieces of paper with his number written on it . then there was another time when i was standing outside my house waiting for a friend to come pick me up when a car stopped and refused to leave until he saw my friend come . for god s sake right outside my house ? ! ? i would like to state another example when me and my friend were returning from the market in a rickshaw and we were followed by a car full of men passing lewd comments and the rickshaw guy had the sense of taking a different route . when he dropped us home he asked us didi kya aap un logo ko jaanti thi ? and i replied saying no , and his answer was isliye maine doosra raasta le liya . what i m trying to say here is that it is not just the poor and uneducated people to blame every single time , there are educated men from well to do families in big cars doing this ! ! ! another time i was stopped by a well spoken man on the defence colony kotla road again in a big car asking if i want to be friends and whether he can drop me home , when i said no he kept following me , i had to go to a crowded place in my market in the colony to get away from him . another thing i would like to say is that the i am a resident of defence colony which is supposedly a colony for the defence people , should be safe but sadly it isn t . nearly every evening i notice prostitutes standing in nooks and corners amp cars stopping and picking them up inside the colony itself . there are a number of lady boys who stand right at road that turns into defence colony opposite the lajpat nagar metro station . at the turn there is a police check post at night for so called security reasons and they stop cars as and when they want (only when they re bored or want to make some money) . do they not know that these lady boys prostitutes stand there and get picked up every night ? ? ? what is the police doing ? ? ? it happens right under their noses and they re oblivious to it ! ! ! this is a great initiative but i hope it continues and is not short lived . we really need to do something to bring about a change in the mindset of people in this country which ironically worships goddesses ! !	['a car full of men', 'man in a big car', 'a well spoken man']	None	['road', 'bus stop']	['throwing', 'stopped', 'passing lewd comments', 'followed', 'following']	2	1,2	0	0	1,3
1318	this was few years back . i was with a group of female friends and we were moving in the crowd for ganpati visarjan . there were few guys who grouped the girls with us and pressed their breasts . pretty sad .	['few guys']	None	None	['pressed their breasts']	0	2	0	0	0
4260	a friend was stalked continuously for 20 days by a stranger on the way back from her tuition to home .	['stranger']	None	None	['stalked']	0	1	0	0	0
1330	while a girl was going to college , there are many guys on the road who started to take pictures , t eased and commented with rough words . she was so afraid to go to college by this kind of abuse by people .	['many guys']	None	['road']	['take pictures', 'commented', 'eased']	0	2	0	0	1
4248	dtc bus conductor was using abusive language while talking to the old lady . (uttam nagar , west delhi)	['bus conductor']	None	None	['abusive language']	0	1	6	0	0
0990	a friend of mine was an only child who belonged to a good family . her parents worked away from home for long hours and left her in the care of a trusted male servant . while they were away he would sexually harass her in their own house .	['male servant']	None	['own house']	['harass']	0	1	12	0	4
0984	there are so many incidents i have experienced but the one i want to write here happened a year ago when a girl of 45 years who was been raped by his own neighbor and her parents took her to the same hospital where i was taking treatment	['neighbor']	None	None	['raped']	0	1	5	0	0
1324	molesters saw my friend on her vehicle near babari mandi and while they were about to leave , they tried to get hold of her pallu while she was on the bike . she scolded them but let them go , unfortunately .	['Molesters']	None	None	['hold of her pallu']	0	2	0	0	0
0199	it was a fateful evening when i went to visit a friend of mine and we began discussing together . after that he began going to another level of discussion in which he started telling me how he has always wanted me to be more than a friend to him . i began asking what he meant . he replied that he wanted me to be his girl friend and immediately he wanted sex at that moment and i was refusing while he was insisting . thanks to god , a friend of his came to his house and i was saved from that	['friend']	['evening']	['his house']	['he wanted sex']	0	1	4	2	4
1287	i am always sexually abused . the bad one happened when i was in level 200 . a boy who was interested in me almost raped me in my own house but i was saved because of the help of my neighbours who came to my aid .	['boy']	None	['house']	['raped']	1	1	0	0	4
0827	6 people on 2 bikes(3 on 1 bike) saw me and my friend and said something really bad and were shouting and commenting on us . i dont know the place well and do not wish to go there again but there was a bata shop and a cinema with dirty pictures in the area .	['6 people']	None	None	['shouting', 'commenting']	0	2	0	0	0
4499	a group of boys were non virtually harassment a girl who was walking a lone in the small street .	['group of boys']	None	['street']	['harassment']	1	2	0	0	1
0833	i invited my a former classmate at our home to help me with my studies , we sat on the biggest chair together and we were studying well untill he started touching my thighs . i moved away but he came closer and i was forced to end the studies by his behaviour	['classmate']	None	['home']	['touching my thighs']	1	1	3	0	4
1293	i was in 10th and was returning from school when my neigbour who s like my uncle held my hand near colony rooms and just started telling me he loves me and used kind of words which were really uncomfortable .	['neigbour']	None	None	['held my hand']	0	1	5	0	0
4300	my sister s phone and gold bangles were taken away by 2 men who said they ll rape her if she resists	['2 men']	None	None	["said they'll rape her if she resists"]	2	2	0	0	0
0600	i was walking down the road , there is not much light . a motorcycle pulled up beside me with two young men on it . they told me i looked great and asked me if i wanted to be in a film they were about to film . they left when i said no but returned twice to ask me again if i had changed my mind !	['two young men']	None	None	['told me I looked great', 'asked me if I wanted to be in a film they were about to film']	2	2	0	0	0
4466	i was passing near ther bridge when some boys started calling a girl who was dressed in a trouser	['some boys']	None	['bridge']	['calling']	1	2	0	0	1
0614	he was very helpful in the bus , helping everyone get their tickets . but when his hands were down , he tried to finger me and i bent his finger backwards to the point where it almost broke . on the way out of the bus , he pinched my ass though . i failed to shame him by making an issue out of it .	['He', 'he']	None	['bus']	['pinched', 'finger me']	0	1	0	0	2
0172	a white tata sumo filled with around eightten men halted suddenly as we three women crossed the road . they shouted at us and aggressively demanded to know what we thought we were doing repeatedly , going to the extent of crossing the highway divider to follow us till our bus stand . the driver kept the engine running , the group inside making loud comments , he also made threatening gestures to open the door and continued running the vehicle beside us . we finally backtracked in panic , and ran a 100 metres back to our office .	['around eightten men']	None	['road']	['demanded to know', 'shouted', 'making loud comments', 'made threatening gestures', 'follow']	2	2	0	0	1
4314	a guy daily followed me while i was going to my tutions , after some days he was trying to contact me	['guy']	None	None	['followed', 'contact']	0	1	0	0	0
0628	i was crossing the park near my house at 7 pm and there were a group of boys who were smoking and they started walking towards me and circled me and started teasing . i punched the guy closest to me and hit the other on his gut . ran home and told my mother and we went to launch a complaint	['group of boys']	['7 pm']	['park']	['circled', 'teasing']	1	2	0	2	7
1250	a girl of 8th standard staying with her grandmother refuses to go to school as a fruit seller at aquem opp monginis keeps on starring at her on way back home she is so scared that she prefers not to answer exams	['seller']	None	None	['starring']	0	1	11	0	0
4843	when my sister was going to her friend s house . an adult man came and hit her on her back .	['adult man']	None	['house']	['hit her on her back']	2	1	0	0	4
1085	a guy send me online messages which were my own photographs there were so many comments about my legs and also my other parts then he called me and asked me to meet him then this matter was reported to police and he was warned	['guy']	None	None	['send me online messages', 'comments']	0	1	0	0	0
1091	sexual harassment in ub . there is this female friend of a friend of mine that always exposes her pubic hair and her breasts each time , each time i see her i am always having a wrong notion about her , that she is a sex maniac .	['female']	None	None	['exposes her pubic hair and her breasts']	0	1	0	0	0
4664	i was out with my friends , shopping when a group og middle aged men started commenting on us .	['group og middle aged men']	None	None	['commenting']	2	2	0	0	0
