"	Description	Commenting	Ogling/Facial Expressions/Staring	Touching /Groping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1170	I was wearing a gown which printed my shape and was very fitting.When I went to the park to pay for my travel ticket"," a guy started commenting on my figure and was making facial expression to the extent of touching me.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1171	The lady went to the uncle's house to demand for money for her school fees.When she arrived the uncle forced her","tying her up on a chair.One leg on one side and the other leg on the other side.The girl was 8 years old.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1172	while coming in Auto rickshaw two guys hiding their face with Hand Kerchiefs and helmet snatched my chain and sped off"," before i could realise the situation. My neck was numb for few seconds. There were scratches also.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1173	I was going home from a funeral at around 2.00 am on my way I met five boys whom one of them held my hands tightly and the other covered my mouth. They took me to an empty house three of them raped me and left me there	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1174	As we were playing near the dam we saw a rasta man pulling a big girl towards the dam.  The  girl was pleeding with him but he could not hear.  After a while we went to check and found him raping the girl.  We ra away.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1175	A man high on drugs/ alcohol came ahead and touched me inappropriately amidst the crowd at Kurla station. He was stopped and beaten by another guy. But he still had the audacity to turn around and wink before he left.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1176	Touched at all possible personal areas of my body. Some guy just rubbed his hand over my butt and one of the other times tried to look inside my top.This happened at the subway near the CST station because it is dark.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1177	this incident happened at the wednesday market. a man was constantly staring at me and following me around. when i told a vendor nearby about it"," he confronted the man who then went away. this happened in the evening.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1178	I know someone but not his name.  He goes where women are buying and pretends to buy raising his hands over them and pushing his organon them.  He leaves themand goes to others.  He does that in Soweto biashara street	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1179	This happened to a friend of mine who was waiting for the opening on forever 21 in saket. she felt something touched her body from behind. after 5 mins she turned back to see a middle aged man with his unzipped pants.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1180	I was on my way to the wedding with my girlfriend and we wore very decent clothes and at the bus stop some men tried to remove her clothes beating me up when I was defending her.  They realy touched her private parts.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1181	I was coming home from church when places were dark.I saw a person looking at me.He called me and asked me to give him all the money I had on me but I told him I had nothing so he threatened to deal with me and I ran.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1182	two girls were standing at a bus stand", a gang of boys came on their bike and started teasing and whistling," they tolerated for few minutes and their bus arrived and went otherwise incident would have become serious..	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1183	a girl from Shiksyadeep college was going to her house from Sathghumti bato. the road was so long but there was no people around. while coming near to her house"," 5 street boys raped her. she was so helpless that time.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1184	i run a stall of basic goods. I am here till 10 pm every night. One night around 10 pm when i was packing up to go home"," a man came and started making sexual invites. he went away when i threatened to call the police.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1185	my friend is being followed by two men from her school to her house every day. she told me about it but we are very scared to inform our parents because they will stop us from going to school then and we want to study	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1186	commenting",ogling which means nonverbal and verbal sexual harassment is a common  thing for every girl,"and ignoring is only solution. remembering such kind of thing and mentioning are not possible but they are common	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1187	Two men who were trying to share a rickshaw with me. When I said I would like to sit at the exit"," the men started saying they would like to sit near me. Thankfully the auto driver did not allow them to board the auto	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1188	I was in an auto with a friend and it was passing a crowded place. Someone put his hand inside and grabbed my chest and fled. We looked back to find the guy and saw the auto driver smirk. We immediatly left the auto.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1189	a small boy nearly 5 to 6 years who was roaming near his home was given some really fierce looks my an uncle standing which made him run form there. he abused him for no reason but the boy couldn't help and ran away.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1190	2 boys (1617 years old) on their way back from school noticed me walking on the road and decided it was a fun idea to walk behind me and have a casual conversation about how they were watching an attractive butt move	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1191	I am foreign woman studying in Gokulam", Mysore.  At 3pm in the afternoon 2 men drove by me and hit me very hard in the breasts from their motorbike," and after drove away laughing and saying quoti want to fuck youquot	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1192	I stepped out of my building and this guy whispered something to me and before I realised he had passed me. I stopped in my path and turned around and he was looking back for a reaction. I did not let it ruin my day.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1193	i was new to the place as we were just shifted there and i was going to find some goods in   the near shop i was teased and commented by a druggist i was so scared  and i called my brother and he warned that druggist	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1194	In the year 2014","I came across such an incident where a young girl of about 17 years old was raped and abandoned near a bush.Reason being that she drank a boy's bear and promised  to date the boy but lateron did not.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1195	I was travelling from my office to home late one night as I am a journalist. Two men started following me when I was riding my bike. They followed me till I reached home. They were commenting on me in indecent manner	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1196	the couple went to kakribihar (surkhet) for weekend. few other guys were commenting and taking pictures. this behaviour created fights in between the couples and the group. the guys killed the boy and rapped the girl	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1197	Whenever we were going to or coming from the tuition", a group of boys stalked and followed one of our tuition mate daily. They even followed us once on a street. Once, when we called the police," they ran and escaped.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1198	I WAS AT DADAR STATION. WHEN THE TRAIN ARRIVED I WAS IN FRONT OF A GENERAL COACH.SO BECAUSE OF THE RUSH I ENTERED INTO IT AND SO THERE WERE A LOT OF MAN AROUND. ONE OF THEM TOUCHED ME. OTHERS STARTED SHOUTING AT HIM.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1199	During the college fest", I invited one of my Muslim friend," she usually dresses up quiet simply and ordinary. Also she wears a burkha. She complained to me that some boys passed indecent comments and whistled at her.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1200	while me and my friend were crossing the road"," a random guy on the signal was sitting on his bike and called us. We thought he needed some help but we came to know that it was only for fulfilling his pathetic desires	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1201	my sister said when she had gone for a morning walk"," a man came in a bike and stopped in front of her amp forced her to stay in his bike amp go with him. he behaved my sister as he had known her earlier and seen her.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1202	I saw a girl being harassed by a group of boys. They were staring at her dress then started whistling and teasing the girl as she passed by them. The girl ignored them but they followed her until she met her friend.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1203	A group of men on two motorcycles followed our auto and kept coming up to the side to stare at us. When we kept ignoring they got more eager and kept circling the auto till we finally pulled off and they went ahead.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1204	in a local train", when the train stopped at a station," a group of guys entered and there was this girl standing alone. So they started commenting and staring at the girl themselves. The girl didn't feel comfortable.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1205	I was in micro bus"," it was pack I was standing so I gave my bag to an old man who was approximately(6065). When I was watching my bag I saw that old man touching the girls sensitive part who was sitting next to him.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1206	a lady wearing a short dress and heels walks by a group of men standing by the road.the men start shouting at her of how she was indecently dressed the girl was forced to run off on heels fearing she could undressed	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1207	once while travellingin bus ","as i was on the bus to visit my relatives .one person frm the bus try to talk with me n try to come close to me n try to touch me so i shouted at him n told him to got off from that bus.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1208	I had a scary experience at the theater premises today. I was waiting for my friend at Sahakar theater", Chembur. A man standing behind my back," pinched at my bottom and ran away. I was left with a miserable feeling.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1209	A neigbbour's daughter of 3 years was raped by a 40 years old man 2 years ago.The little girl's vagina was destroyed The man was arrested by the police and jailed.Before I left Bamenda","the matter was still in court.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1210	I went there  for some work with 2 of my girl friends and a group of boys(not more than 25yrs) tried diverting  our attention towards them. But we ignored them and went back home and luckily they didn't followed us.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1211	my neighbor's soon kept asking me for sexual invites whenever he spotted me in the street. one day he just entered my house and told me that he just wants to be friends. this happened near som bazaar in vikas nagar.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1212	it was raining at 800 p.m. and a stranger gave me lift. I sat behind with other two men.  They passed my alighting point and when I asked loudly my mouth was covered"," the two men raped me and  dropped me at Kangemi.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1213	my father and mother have neglected me toward my well fare am not going to school and I sleep outside because they are all drunkared and come back late. Now I just pick plastic bottles to get something for me to eat	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1214	I was sitting in bus and the person who was sitting beside me was touching my waist again and again and then i get to know his intentions and slapped him tightly twice on his neck and he went out of the moving bus.	0	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1215	I was returning home from my workplace in the evening and a drunk guy was intentionally trying to fall upon me.Later","when he saw police nearby he got scared and went away.It happened near rohini west metro station.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1216	there is this man who is known for disturbing girls. One day I was sent to the market by my mother around 1pm and I met this man on my way and he forced me to stand with him and I refused then he touched my breasts	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1217	i was out with friends atrcity for a late night coffe at starbucks.. we came out around 10.15 and two guys sitting on their bikes started whistling and as we started walking they asked us if they could drop us home	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1218	there is this man who is known for disturbing girls. One day I was sent to the market by my mother around 1pm and I met this man on my way and he forced me to stand with him and I refused then he touched my breasts	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1219	During morning ", I witnessed a guy abusing and character assassinating a girl ," just because she asked him not to sit in women compartment . His exact words were quottu bahar nikal dekh tere saath Kya hota hai quot	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1220	near queen mary's school one can see a lot of cheap boys standing because of the school being an all girls school.one girl going out of the school saw a boy commenting on her body which she found really disgusting.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1221	thane is a really busy station hence the staircase is always packed with people coming and going on one such day when i was getting down to catch a train. a random guy tried touching my hip. i objected immediately.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1222	I was wearing a skirt and was boarding the local train. Some guy stuck his hand under my skirt and held my bum. I froze and held his hand and pulled it off. the train was crowded so I couldn't find the perpetrator.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1223	my mother sent me to her friends place and when I reached there I did not find her but I found her husband he told me to wait for her and he removed his clothes and put on a towel ans came close to me and kissed me	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1224	A crank caller continuously called and texted me via message.I informed this to my father and filed an FIR against that mobile number and from that day onwards i am not getting any calls or texts from the same guy.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1225	a friend of mine was an only child who belonged to a good family. her parents worked away for hours and left her in the hands of a male servant. while they were away he would sexually harass her in their own home.	0	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1226	On the way to my school there is a allay where group of boys sit and comment"," tease every girls who pass by the area.    Once I was also teased in the same place by same group of boys. I shared it with my parents.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1227	me", my friend amp her sister were walking in a road in the evening just to get fresh air. suddenly two bikes passed away," hitting hard on the ass of my friends sister. the person sitting behind the bike did that .	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1228	Once my sister and I were in an auto. The auto driver suddenly stopped the auto and came out. He acted like he was checking the auto but was actually touching us. It happened twice with us by the same auto driver.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1229	I was walking back from Jangpura Metro station and a policeman(The so called protectors of the Common people)passed cheap comments.Staring and eve teasing are common for girls to experience in their everyday life.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1230	i had gone to fetch water", a man approached me and asked for water. when i was giving it to him," he scanned me from top to toe and his stare made me extremely uncomfortable. this happened near the wednesday market	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1231	When me and my friend were walking", we saw two boys following a girl. Later we saw that one of the men hugged the girl from backside and she shouted loudly. After that," she ran fast and informed the policy nearby.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1232	the bodaboda guys stationed near ushirika clinic were calling a lady and she refused to use their bodaboda. They then started telling her that she is boasting and she has already given herselve to men in the hood.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1233	I was harassed by a gang of guys who raped me.One day I was moving on the streets and I met a group of boys who came and confronted me.When I tried to escaped from them ","they ran after me and one of them raped me.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1234	one day when me and my younger brother was walking in the street some boys followed us. we were scared. they whistles and started to walk briskly. then we walk fastly to the crowd area then they stop following us.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1235	Me and my friend were in Swayambhu near Anandakuti. It was near jungle where other people were also around. There came middle aged man who started masturbating. We didn't know what to do so we just left the place.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1236	One of the male employees was raped after his working hours. The guy was taken away by fake police officers with an intention of interrogation. He was taken away to the outskirts of the city and raped at gunpoint.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1237	This incident took place on 170914 around 24pm at the metro station.My friend usually get harassed on daily basis on this station.I would like safe city to take initiatives to stop this.It is very unsafe (Please)	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1238	The Crowded places are the ones mostlu where sexual assaults happen. On crowded bus"," crowded streets men take advantage of women because they cannot pinpoint the assualter. Groping and sexual language often used.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1239	I was in the bus", I was wearing shorts that day. A man put his hand on my thigh. Then I took off his hand from there after sometime he again did the same thing. He repeated it several times," so I changed my seat.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1240	My niece was sexually assaulted when sent in an errand. Her cloths were torn by the harasser who rough handled her when she was trying to escape. Commenting about her hip and figure"," that he would sleep with her.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1241	This incident took place at rajiv chowk metro station in the evening.I was passing from the station towards platform for noida city centre and i saw that behind the toilet area","commenting and catcalls took place.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1242	I was walking to get my vehicle parked in Seawoods stn parking lot when few men joking around made comments regarding my dressing sense. I felt disgusted and wanted to thrash them but couldn't gather the courage.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1243	a man in his mid 20's came running towards a girl on the crowded street of dev nagar market. He pressed her breasts and ran away. We were too stunned to react", by the time we could do something," the guy had fled.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1244	This happened to a friend of mine who went to the market to buy some vegetable .On her way back","she met some boys who came out of the bush and started insulting her because she refused the request of one of them.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1245	Many of the youth after drinking in mountain area throw the bottle there which make it difficult for women and children who collect the wood from the forest as the glasses of bottle leads to injury in their legs.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1246	i was walking towards ddar station around 1030 am from podar college and reaching half way", 6 group of boys crossed me," and 2 boys on their bikes came back and passed some disrepectful comments and kissing faces	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1247	Age 18 yearsType of harassmentStalking at Leh market near Yebhi showroom (day time)Catcalls in classroom at school in Leh (day time)Commenting zesma lay (looking beautiful) (day time)Sexual invites yes (evening)	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1248	It happened when I was in school .My friends were always fun of playing with men back from school at the level of form one and  two at the village and having sex at a tender age which led them to early pregnancy	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1249	I have come across fools and vagabonds at almost every place in my college life. They pass indecent comments and whistle in an indecent manner and show vulgar gestures. This embarrasses the other person (girls0.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1250	A girl of 8th standard staying with her grandmother refuses to go to school as a fruit seller at Aquem opp monginis keeps on starring at her on way back home she is so scared that she prefers not to answer exams	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1251	I was on my way to the shope to buy mandazi at break time",then I mate a drunkad man he started calling me hey babie youve got very nice chicks," I dind respond because he was an elderly man I walked away instead.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1252	A middleaged skinny man with reddish eyes groped my right buttock as came to stand next to me while I was buying bread at local shop across from Sheetal Hotel"," Biapur City. Categories selected  Touching /Groping	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1253	She was simply invited by her boyfriend and when she got to his house.The boy gave her food and drugged her with excess alcohol and they had sex but the harassment theme is that naked pictures of her were taken.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1254	When I entered the subway it was dark", so I decided to go back from their, but suddenly a man came to me amp hold my hand amp forced me to go from that subway, and also asked me my number. (Lajpat Nagar," subway)	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1255	azadpur is an area where one can expect to have some discomfort especially with girls.a girl standing there had to go through serious torcher when a man selling vegetables touched his private parts to invite her	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1256	we were from school in the evening reaching the railway line we mate lots of men the starte whistling and calling us but we ignored them because they like doing that to each lady who is passing by closse to them	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1257	I am a guy who resides near Charni Road.The night at incident I was waiting for my friend suddenly a person came and started stalking mr. He went and later came with 2 of his people and started stalking me again	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1258	This happened in Dakshinpuri block c  in the afternoon around 6 months back. While I was on my way to home from school"," I noticed a group a boys were indecently exposing themselves in front a girl who was alone.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1259	One day when I was traveling in the bus there were group of guy who were teasing a girl as well as one of them tried to touch her. Later they passed comments on me as well then we stopped the bus then we go on.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1260	She was alone"," trying to catch an auto. A man tried to touch her in an improper manner. She faced him and shouted back to which he smartly ignored and walked away pretending to be unaware of what just happened.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1261	Me and my friends were coming back from our internship and going towards the Dwarka sector 10 metro station. There is a wine and beer shop where a lot of men hang around and pass comments and behave indecently.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1262	I was being harassed by  a girl who asked me to date her and I refused.She reported me to my friends and even my brother that I underlook her.It happened twice last year and last two years that is 2013 and 2014	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1263	After Earthquake",some people of Terai settled in Nayabasti.People always look differently.I don't know,"they were doing negatively or not but they sing a song and look for long time until girl passes from there.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
